Repository,Forks period 1 p,Forks period 2 p,Forks period 3 p,Forks period 4 p,Forks period 5 p,Forks period 6 p,Forks period 7 p,Forks period 8 p,Issues Opened period 1 p,Issues Opened period 2 p,Issues Opened period 3 p,Issues Opened period 4 p,Issues Opened period 5 p,Issues Opened period 6 p,Issues Opened period 7 p,Issues Opened period 8 p,Issues Closed period 1 p,Issues Closed period 2 p,Issues Closed period 3 p,Issues Closed period 4 p,Issues Closed period 5 p,Issues Closed period 6 p,Issues Closed period 7 p,Issues Closed period 8 p,Pulls Opened period 1 p,Pulls Opened period 2 p,Pulls Opened period 3 p,Pulls Opened period 4 p,Pulls Opened period 5 p,Pulls Opened period 6 p,Pulls Opened period 7 p,Pulls Opened period 8 p,Pulls Closed period 1 p,Pulls Closed period 2 p,Pulls Closed period 3 p,Pulls Closed period 4 p,Pulls Closed period 5 p,Pulls Closed period 6 p,Pulls Closed period 7 p,Pulls Closed period 8 p,Pulls Merged period 1 p,Pulls Merged period 2 p,Pulls Merged period 3 p,Pulls Merged period 4 p,Pulls Merged period 5 p,Pulls Merged period 6 p,Pulls Merged period 7 p,Pulls Merged period 8 p,Commits period 1 p,Commits period 2 p,Commits period 3 p,Commits period 4 p,Commits period 5 p,Commits period 6 p,Commits period 7 p,Commits period 8 p,New Committers period 1 p,New Committers period 2 p,New Committers period 3 p,New Committers period 4 p,New Committers period 5 p,New Committers period 6 p,New Committers period 7 p,New Committers period 8 p,Distinct Committers period 1 p,Distinct Committers period 2 p,Distinct Committers period 3 p,Distinct Committers period 4 p,Distinct Committers period 5 p,Distinct Committers period 6 p,Distinct Committers period 7 p,Distinct Committers period 8 p,Max days without commits period 1 p,Max days without commits period 2 p,Max days without commits period 3 p,Max days without commits period 4 p,Max days without commits period 5 p,Max days without commits period 6 p,Max days without commits period 7 p,Max days without commits period 8 p,Max Contributions period 1 p,Max Contributions period 2 p,Max Contributions period 3 p,Max Contributions period 4 p,Max Contributions period 5 p,Max Contributions period 6 p,Max Contributions period 7 p,Max Contributions period 8 p,Projects Created by Owner period 1 p,Projects Created by Owner period 2 p,Projects Created by Owner period 3 p,Projects Created by Owner period 4 p,Projects Created by Owner period 5 p,Projects Created by Owner period 6 p,Projects Created by Owner period 7 p,Projects Created by Owner period 8 p,Commits by Owner period 1 p,Commits by Owner period 2 p,Commits by Owner period 3 p,Commits by Owner period 4 p,Commits by Owner period 5 p,Commits by Owner period 6 p,Commits by Owner period 7 p,Commits by Owner period 8 p,Failed
Homebrew/legacy-homebrew,41,54,621,956,981,830,804,743,6,10,326,655,838,620,524,636,116,43,451,681,749,597,501,619,3,5,1654,2473,2405,2462,2284,2000,3,127,1721,2529,2317,2534,2198,1961,2,3,4,3,2,5,3,9,2,6,3083,5019,5595,4349,3599,3681,1,0,195,300,244,248,245,237,2,3,470,609,558,546,496,495,42,40,23,0,0,0,0,0,1,3,1354,1868,2371,1637,1281,1209,1,1,4,1,3,3,1,2,0,0,1354,1868,2371,1637,1281,1209,Yes
Prinzhorn/skrollr,178,225,193,237,304,315,239,219,35,30,43,44,60,62,55,77,9,10,30,30,40,54,35,72,5,7,2,7,7,12,11,4,2,2,1,8,2,14,7,6,1,1,0,6,2,9,3,2,6,3,0,17,11,47,18,40,0,1,0,4,4,7,3,0,1,2,0,6,5,8,4,1,53,60,79,19,57,16,35,25,6,1,0,11,6,33,14,39,0,1,1,0,0,0,3,3,6,1,0,11,6,33,14,39,Yes
Shopify/dashing,39,87,66,57,60,52,63,55,4,21,42,28,29,45,31,48,3,9,17,10,13,25,82,23,0,3,9,3,7,3,9,3,1,2,6,3,14,3,4,2,0,1,4,1,11,2,1,1,3,7,9,2,16,5,7,1,0,0,4,1,3,1,3,1,1,1,6,2,4,2,4,1,30,49,38,78,52,56,52,82,3,7,4,1,11,3,3,1,21,14,10,5,4,7,6,11,3,7,4,1,11,2,1,0,Yes
carhartl/jquery-cookie,117,134,145,198,230,210,256,327,7,9,14,8,23,17,33,19,14,10,12,7,20,15,35,18,6,1,6,15,4,6,2,4,14,0,5,10,3,6,4,4,3,0,0,2,1,5,1,0,12,0,1,10,21,13,14,11,0,0,1,3,1,4,1,0,2,0,1,4,2,5,2,2,31,64,60,25,29,31,25,41,9,0,1,5,20,8,13,9,1,0,0,0,0,1,1,0,9,0,0,5,20,8,13,9,Yes
nhaarman/ListViewAnimations,51,105,109,86,103,139,193,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,61,90,90,89,89,90,76,88,1,0,0,0,0,0,1,0,1,1,0,3,1,2,1,3,1,0,0,0,0,0,1,0,Yes
jscs-dev/node-jscs,12,18,8,20,26,63,59,65,2,0,0,5,78,85,126,177,2,0,0,6,223,102,145,164,0,0,1,2,18,61,92,145,0,0,1,3,23,61,94,158,0,0,0,0,6,5,5,1,1,0,0,10,100,112,243,230,0,0,0,0,4,18,24,32,1,0,0,2,10,26,31,48,61,76,78,77,14,6,3,2,1,0,0,8,56,36,120,114,0,0,0,0,0,0,0,0,1,0,0,8,56,36,120,114,Yes
lucasr/twoway-view,104,100,76,33,27,40,13,6,18,42,61,22,12,9,6,4,3,7,43,18,0,1,1,1,3,6,14,2,2,3,2,2,1,1,11,8,0,1,1,0,1,1,5,0,0,1,1,0,3,3,114,140,0,4,5,1,1,1,2,0,0,1,2,0,2,2,3,1,0,2,4,1,58,71,14,26,69,72,28,62,2,2,107,140,0,3,2,1,0,0,3,1,0,0,0,0,2,2,107,140,0,3,2,1,Yes
nickoneill/PermissionScope,36,53,55,51,42,43,47,34,3,3,8,4,19,8,9,23,1,2,4,1,24,4,8,22,2,8,6,8,10,2,10,13,1,1,1,4,9,1,6,12,0,0,0,2,6,1,5,11,1,1,0,4,29,1,12,47,0,0,0,2,3,0,2,4,1,1,0,3,5,1,4,8,62,33,62,25,19,65,23,21,1,1,0,2,13,1,6,21,0,0,0,1,0,0,2,1,1,1,0,1,13,1,2,21,Yes
ECSlidingViewController/ECSlidingViewController,56,78,77,63,71,49,37,17,23,35,46,54,21,41,29,16,3,9,37,118,5,11,15,16,9,12,10,16,10,3,12,2,5,5,9,31,2,0,9,6,1,0,5,14,0,0,1,4,5,12,21,174,2,5,18,8,1,2,4,4,1,2,3,1,2,3,5,5,1,3,4,3,43,25,25,6,57,36,16,31,3,9,15,152,1,3,10,5,0,0,0,0,0,0,0,0,3,9,15,152,0,3,10,5,Yes
mcxiaoke/android-volley,36,45,88,105,168,169,253,204,4,7,4,5,6,26,16,30,1,2,2,1,1,3,12,30,0,0,0,0,1,10,2,10,0,0,0,0,5,2,2,7,0,0,0,0,0,0,1,2,1,0,0,0,1,1,7,26,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,4,61,76,77,78,77,53,73,13,1,0,0,0,1,1,6,16,1,0,0,8,0,5,2,8,1,0,0,0,0,1,1,4,Yes
jariz/vibrant.js,10,2,18,6,11,11,13,10,2,2,3,2,3,1,0,1,13,1,1,2,2,1,0,0,3,0,4,0,0,0,1,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,2,0,1,0,1,0,0,0,1,0,2,0,2,0,0,0,2,0,61,65,41,63,64,65,54,64,1,0,1,0,0,0,1,0,2,1,1,1,2,4,5,1,1,0,1,0,0,0,1,0,Yes
stripe/jquery.payment,24,31,33,43,36,24,23,30,3,2,1,9,12,10,8,10,6,0,1,8,13,16,9,15,3,5,1,4,3,16,2,8,11,0,0,2,5,15,4,9,1,0,0,1,4,9,2,6,2,0,0,4,12,21,7,15,0,0,0,0,1,2,1,2,1,0,0,2,3,4,4,4,61,91,89,64,30,34,46,42,2,0,0,3,6,9,3,8,4,4,2,1,4,2,1,6,2,0,0,3,6,7,3,1,Yes
fex-team/ueditor,124,85,73,93,86,82,87,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,7,7,6,9,8,5,5,6,1,3,3,11,15,1,1,5,1,1,2,8,12,0,5,13,2,3,4,13,21,4,0,3,1,1,0,3,4,2,2,4,2,2,1,4,4,2,31,51,49,67,42,17,42,36,2,6,1,2,4,7,18,2,2,1,0,2,2,0,7,9,2,6,1,2,4,7,18,0,Yes
github/hubot-scripts,37,52,50,42,54,51,57,41,2,2,3,2,5,7,3,3,3,0,9,3,3,18,1,3,7,3,11,5,13,17,8,9,5,0,23,6,2,65,8,6,2,0,7,0,1,37,4,5,4,0,22,1,2,53,9,16,2,0,1,1,2,8,4,5,3,0,2,1,2,12,5,7,27,83,57,52,40,19,36,21,2,0,21,1,1,41,4,8,9,9,6,4,1,3,1,3,2,0,21,0,0,41,4,8,Yes
stephanenicolas/robospice,14,36,19,35,33,41,38,33,1,2,4,11,11,9,22,23,0,0,1,1,2,4,11,32,0,5,2,1,3,2,4,3,1,6,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,61,68,67,67,68,68,54,44,1,0,0,0,0,0,1,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5,Yes
pedrovgs/DraggablePanel,27,28,37,31,47,40,38,33,8,7,8,5,6,5,9,2,3,2,3,1,5,2,5,3,0,0,1,1,0,2,1,4,0,0,0,1,0,0,1,3,0,0,0,1,0,0,1,0,3,0,0,2,2,0,5,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,56,79,81,52,49,80,29,81,3,0,0,1,2,0,4,0,1,2,1,1,0,0,4,0,3,0,0,1,2,0,4,0,Yes
evilsocket/bettercap,34,20,27,26,30,23,46,43,32,19,64,48,40,45,94,31,19,20,58,54,33,38,89,32,23,3,3,6,2,7,10,13,23,3,3,6,2,7,10,13,20,3,3,5,2,6,7,11,47,22,17,73,38,36,256,267,3,0,0,3,0,3,1,5,5,2,2,4,1,4,3,7,24,53,49,32,32,17,18,16,27,19,13,32,36,25,247,254,4,5,1,0,2,1,2,0,27,19,13,32,36,25,247,254,Yes
lg/murder,12,13,9,5,11,5,13,9,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61,89,89,87,89,89,89,86,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Yes
philipwalton/html-inspector,1,1,4,5,4,2,6,4,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,2,0,61,86,85,84,68,86,70,85,2,0,0,0,1,0,1,0,0,1,0,1,2,0,1,0,2,0,0,0,1,0,1,0,Yes
Linuxbrew/legacy-linuxbrew,10,4,3,2,3,18,39,40,3,4,0,7,2,56,187,78,10,5,15,9,23,71,167,54,4,0,0,0,0,25,144,39,4,0,2,0,1,36,161,36,1,0,0,0,0,4,5,1,1,0,0,0,0,100,5145,5333,1,0,0,0,0,10,297,301,1,0,0,0,0,29,640,622,62,64,63,65,65,64,0,0,1,0,0,0,0,22,2009,1823,0,0,2,2,0,2,2,0,0,0,0,0,0,22,2009,1823,Yes
