8. ('p start for', 'pf_prop')
9. ('p start for', 'dissidence')
10. ('p start for', 'upf_corr')
11. ('p start for', 'rot_regret')
12. ('p start for', 'opp')
2667. ('p start for', 'pf_prop')
2668. ('p start for', 'dissidence')
2669. ('p start for', 'upf_corr')
2670. ('p start for', 'rot_regret')
2671. ('p start for', 'opp')
3259. ('p start for', 'pf_prop')
3260. ('p start for', 'dissidence')
3261. ('p start for', 'upf_corr')
3262. ('p start for', 'rot_regret')
3263. ('p start for', 'opp')
4138. ('p start for', 'pf_prop')
4139. ('p start for', 'dissidence')
4140. ('p start for', 'upf_corr')
4141. ('p start for', 'rot_regret')
4142. ('p start for', 'opp')
6797. ('p start for', 'pf_prop')
6798. ('p start for', 'dissidence')
6799. ('p start for', 'upf_corr')
6800. ('p start for', 'rot_regret')
6801. ('p start for', 'opp')
